id,y
10441,65.0
10442,55.25
10443,211.0
10444,115.5
10445,6.3
10446,62.0
10447,265.0
10448,10.2
10449,39.75
10450,27.0
10451,14.1
10452,110.75
10453,255.0
10454,19.4
10455,69.0
10456,10.6
10457,35.1
10458,550.0
10459,25.2
10460,825.0
10461,27.7
10462,31.9
10463,68.5
10464,675.0
10465,51.25
10466,1210.0
10467,67.25
10468,75.5
10469,19.5
10470,445.0
10471,44.25
10472,18.8
10473,21.7
10474,77.25
10475,50.25
10476,75.75
10477,77.25
10478,700.0
10479,285.0
10480,71.25
10481,38.5
10482,26.7
10483,63.0
10484,299.0
10485,75.25
10486,70.0
10487,243.0
10488,23.3
10489,152.0
10490,79.5
10491,527.0
10492,120.0
10493,60.5
10494,54.25
10495,200.0
10496,301.0
10497,58.5
10498,16.0
10499,8.5
10500,76.25
10501,710.0
10502,74.25
10503,37.5
10504,8.5
10505,103.25
10506,63.35
10507,105.5
10508,15.0
10509,69.75
10510,47.6
10511,46.6
10512,106.5
10513,38.3
10514,76.5
10515,72.5
10516,100.0
10517,67.5
10518,56.25
10519,36.25
10520,60.75
10521,42.5
10522,26.7
10523,655.0
10524,27.7
10525,93.25
10526,14.9
10527,8.2
10528,70.5
10529,21.6
10530,10.0
10531,13.5
10532,740.0
10533,40.9
10534,70.0
10535,52.75
10536,37.0
10537,106.5
10538,318.0
10539,91.75
10540,17.7
10541,58.5
10542,915.0
10543,60.0
10544,340.0
10545,24.4
10546,39.6
10547,3285.0
10548,22.9
10549,52.75
10550,34.75
10551,85.25
10552,900.0
10553,49.25
10554,68.0
10555,1990.0
10556,940.0
10557,20.2
10558,49.5
10559,40.5
10560,8.5
10561,17.8
10562,56.0
10563,915.0
10564,15.2
10565,16.8
10566,1170.0
10567,22.7
10568,26.2
10569,97.0
10570,950.0
10571,2200.0
10572,19.3
10573,241.0
10574,900.0
10575,208.5
10576,367.0
10577,102.0
10578,33.0
10579,28.15
10580,8.7
10581,78.75
10582,9.5
10583,1525.0
10584,16.4
10585,408.0
10586,25.8
10587,1875.0
10588,8.1
10589,42.0
10590,229.0
10591,41.25
10592,12.9
10593,31.15
10594,740.0
10595,1255.0
10596,312.0
10597,238.0
10598,21.8
10599,561.0
10600,825.0
10601,31.2
10602,14.0
10603,206.0
10604,302.0
10605,228.0
10606,282.0
10607,106.0
10608,215.0
10609,131.0
10610,59.5
10611,105.75
10612,37.5
10613,9.1
10614,27.5
10615,669.0
10616,12.3
10617,35.25
10618,62.0
10619,81.25
10620,115.0
10621,100.75
10622,865.0
10623,27.35
10624,22.4
10625,775.0
10626,33.15
10627,25.9
10628,558.0
10629,233.0
10630,1005.0
10631,48.5
10632,8.5
10633,27.1
10634,52.0
10635,2030.0
10636,7.4
10637,52.0
10638,67.5
10639,23.3
10640,13.8
10641,143.0
10642,57.75
10643,75.5
10644,38.0
10645,62.25
10646,281.0
10647,33.5
10648,810.0
10649,202.0
10650,9.8
10651,309.0
10652,107.5
10653,44.0
10654,12.8
10655,55.0
10656,59.75
10657,82.5
10658,81.25
10659,146.5
10660,38.85
10661,106.75
10662,71.75
10663,87.75
10664,6.0
10665,6.2
10666,21.1
10667,90.25
10668,142.0
10669,81.5
10670,13.4
10671,9.1
10672,22.15
10673,626.0
10674,136.0
10675,503.0
10676,57.5
10677,49.75
10678,76.75
10679,43.25
10680,90.0
10681,47.75
10682,41.25
10683,1910.0
10684,244.0
10685,366.0
10686,529.0
10687,80.5
10688,441.0
10689,73.5
10690,77.0
10691,820.0
10692,35.85
10693,30.45
10694,1190.0
10695,151.0
10696,47.5
10697,7.9
10698,261.0
10699,50.25
10700,42.0
10701,16.4
10702,331.0
10703,51.5
10704,316.0
10705,10.7
10706,6.9
10707,280.0
10708,10.2
10709,130.25
10710,218.0
10711,675.0
10712,10.9
10713,710.0
10714,654.0
10715,725.0
10716,214.0
10717,13.1
10718,47.75
10719,1770.0
10720,114.25
10721,76.25
10722,780.0
10723,18.9
10724,63.75
10725,278.0
10726,805.0
10727,111.0
10728,113.0
10729,67.75
10730,37.0
10731,45.35
10732,519.0
10733,19.2
10734,1045.0
10735,229.0
10736,37.5
10737,99.0
10738,86.5
10739,52.75
10740,469.0
10741,62.5
10742,34.75
10743,172.0
10744,352.0
10745,36.6
10746,78.5
10747,38.75
10748,268.0
10749,13.9
10750,74.75
10751,75.25
10752,753.0
10753,1020.0
10754,179.0
10755,59.75
10756,72.75
10757,50.5
10758,115.75
10759,230.0
10760,57.75
10761,30.25
10762,83.5
10763,34.45
10764,164.0
10765,80.75
10766,159.0
10767,2030.0
10768,15.1
10769,221.0
10770,72.25
10771,1250.0
10772,65.95
10773,65.0
10774,92.5
10775,512.0
10776,10.9
10777,69.0
10778,77.5
10779,760.0
10780,1265.0
10781,78.5
10782,23.0
10783,83.5
10784,38.0
10785,68.25
10786,12.6
10787,200.0
10788,55.75
10789,55.0
10790,22.0
10791,85.25
10792,17.5
10793,780.0
10794,62.75
10795,57.0
10796,13.7
10797,42.75
10798,3815.0
10799,879.0
10800,128.0
10801,378.0
10802,48.25
10803,32.1
10804,504.0
10805,725.0
10806,95.0
10807,10.1
10808,68.25
10809,193.0
10810,295.0
10811,885.0
10812,286.0
10813,33.1
10814,24.8
10815,38.0
10816,25.5
10817,88.75
10818,28.45
10819,175.0
10820,825.0
10821,1375.0
10822,72.5
10823,88.25
10824,303.0
10825,71.0
10826,700.0
10827,655.0
10828,127.0
10829,28.55
10830,935.0
10831,16.3
10832,431.0
10833,515.0
10834,17.8
10835,135.0
10836,469.0
10837,1220.0
10838,41.0
10839,52.25
10840,14.5
10841,47.5
10842,44.5
10843,36.25
10844,30.6
10845,25.3
10846,10.4
10847,850.0
10848,425.0
10849,153.0
10850,51.25
10851,74.0
10852,64.0
10853,13.9
10854,6.3
10855,361.0
10856,3850.0
10857,85.75
10858,29.2
10859,14.1
10860,75.75
10861,92.25
10862,292.0
10863,485.0
10864,424.0
10865,544.0
10866,2170.0
10867,980.0
10868,366.0
10869,27.55
10870,182.0
10871,3730.0
10872,275.0
10873,480.0
10874,20.7
10875,459.0
10876,99.75
10877,915.0
10878,33.65
10879,39.25
10880,10.1
10881,71.25
10882,195.0
10883,69.25
10884,11.6
10885,221.0
10886,76.25
10887,142.0
10888,273.0
10889,49.5
10890,21.7
10891,403.0
10892,46.75
10893,100.25
10894,2690.0
10895,194.0
10896,49.25
10897,351.0
10898,19.0
10899,176.0
10900,8.0
10901,9.2
10902,67.25
10903,286.0
10904,82.75
10905,385.0
10906,94.0
10907,90.75
10908,80.5
10909,32.1
10910,118.0
10911,86.5
10912,72.0
10913,715.0
10914,120.0
10915,16.7
10916,14.2
10917,58.0
10918,8.8
10919,18.8
10920,231.0
10921,12.0
10922,73.75
10923,59.25
10924,50.0
10925,115.5
10926,504.0
10927,85.5
10928,830.0
10929,242.0
10930,143.0
10931,7.8
10932,37.4
10933,49.0
10934,51.25
10935,30.8
10936,44.5
10937,50.75
10938,94.0
10939,18.8
10940,44.0
10941,74.25
10942,9.7
10943,42.25
10944,29.15
10945,29.95
10946,118.5
10947,50.5
10948,59.25
10949,191.0
10950,47.25
10951,310.0
10952,38.5
10953,21.7
10954,43.5
10955,12.4
10956,64.5
10957,12.6
10958,495.0
10959,70.75
10960,39.35
10961,118.0
10962,1160.0
10963,161.0
10964,895.0
10965,610.0
10966,1460.0
10967,49.25
10968,87.25
10969,174.0
10970,19.1
10971,75.75
10972,86.5
10973,1295.0
10974,79.0
10975,54.0
10976,262.0
10977,58.0
10978,111.0
10979,17.6
10980,524.0
10981,26.0
10982,13.3
10983,75.75
10984,9.3
10985,37.25
10986,10.8
10987,17.6
10988,25.85
10989,44.75
10990,90.25
10991,305.0
10992,165.0
10993,175.0
10994,102.5
10995,47.5
10996,32.3
10997,61.75
10998,12.8
10999,11.9
11000,587.0
11001,545.0
11002,236.0
11003,103.0
11004,156.0
11005,39.0
11006,43.75
11007,67.0
11008,35.7
11009,37.25
11010,51.75
11011,19.1
11012,58.75
11013,121.0
11014,45.25
11015,209.0
11016,11.7
11017,74.25
11018,740.0
11019,65.25
11020,95.75
11021,96.0
11022,97.0
11023,1145.0
11024,253.0
11025,33.6
11026,20.8
11027,259.0
11028,9.6
11029,49.75
11030,185.0
11031,181.0
11032,79.5
11033,1240.0
11034,88.75
11035,15.7
11036,1400.0
11037,44.0
11038,62.25
11039,770.0
11040,23.9
11041,348.0
11042,32.55
11043,80.75
11044,385.0
11045,47.25
11046,25.65
11047,9.3
11048,46.15
11049,227.0
11050,18.9
11051,57.25
11052,69.75
11053,284.0
11054,40.0
11055,31.1
11056,20.8
11057,37.0
11058,23.75
11059,120.25
11060,49.5
11061,82.0
11062,50.25
11063,58.25
11064,117.25
11065,950.0
11066,71.75
11067,101.0
11068,1245.0
11069,152.0
11070,146.0
11071,42.75
11072,710.0
11073,2205.0
11074,237.0
11075,88.25
11076,46.75
11077,85.25
11078,1960.0
11079,287.0
11080,40.2
11081,650.0
11082,6.4
11083,6.0
11084,44.25
11085,9.2
11086,131.0
11087,49.75
11088,18.8
11089,40.65
11090,23.1
11091,105.75
11092,1025.0
11093,15.4
11094,34.5
11095,30.0
11096,298.0
11097,101.5
11098,45.25
11099,25.85
11100,71.25
11101,306.0
11102,19.0
11103,47.75
11104,39.0
11105,108.75
11106,29.9
11107,18.1
11108,50.0
11109,15.1
11110,216.0
11111,48.75
11112,44.25
11113,91.25
11114,77.75
11115,147.0
11116,55.75
11117,14.6
11118,32.25
11119,64.75
11120,352.0
11121,40.75
11122,284.0
11123,23.15
11124,190.0
11125,18.4
11126,54.75
11127,16.4
11128,65.75
11129,100.5
11130,18.3
11131,52.5
11132,29.05
11133,48.75
11134,85.25
11135,13.3
11136,44.25
11137,28.85
11138,60.75
11139,31.2
11140,519.0
11141,53.0
11142,51.75
11143,14.1
11144,41.25
11145,670.0
11146,309.0
11147,69.0
11148,57.75
11149,64.0
11150,79.25
11151,7.6
11152,13.2
11153,76.5
11154,805.0
11155,53.75
11156,1560.0
11157,557.0
11158,212.0
11159,100.75
11160,105.0
11161,51.0
11162,24.8
11163,171.0
11164,401.0
11165,659.0
11166,130.75
11167,53.5
11168,332.0
11169,1905.0
11170,240.0
11171,172.0
11172,6.0
11173,71.75
11174,73.0
11175,12.5
11176,376.0
11177,1025.0
11178,15.0
11179,174.0
11180,554.0
11181,725.0
11182,77.75
11183,17.1
11184,15.0
11185,48.25
11186,125.0
